t_seconds,rss_mb
0.018,21.04
0.283,70.63
0.550,94.29
0.814,117.95
1.083,139.36
1.349,162.28
1.613,183.17
1.877,199.91
2.146,220.57
2.411,243.35
2.676,243.35
2.941,243.35
3.208,207.34
3.476,207.45
3.743,207.45
4.012,207.45
4.280,207.45
4.547,207.45
4.816,207.45
5.082,207.45
5.349,207.45
5.614,207.45
5.877,207.45
6.140,207.45
6.410,207.40
6.679,207.45
6.963,207.41
7.229,207.53
7.498,210.07
7.763,210.07
8.031,210.07
8.299,210.03
8.566,210.07
8.835,210.07
9.104,210.07
9.370,210.07
9.639,210.07
9.906,210.07
10.174,210.07
10.442,210.07
10.711,210.07
10.979,210.07
